,version,app,par,dataset,variant,cycles,DRAM_rd,DRAM_wr,PeakLink,SRAM_rd,SRAM_wr,dim_0_2,dim_0_4
0,v25,SpMV,16,B_0_0_2,HBM2_network  	DEADLOCK: 1921,,,,,,,0.0,
1,v25,SpMV,16,B_1000_0_4,HBM2_network,4086.0,787.3739999999999,0.9867239999999999,0.3950073421439061,377.71414586392564,0.986784140969163,,1000.0
2,v25,SpMV,16,B_1250_0_4,HBM2_network,6047.0,831.444,0.8572139999999999,0.4147511162559947,402.69952042335035,0.8572846039358359,,1250.0
3,v25,SpMV,16,B_1000_0_2,HBM2_network,2136.0,754.0089999999999,1.88742,0.3862359550561798,359.8014981273408,1.8876404494382024,1000.0,
4,v25,SpMV,16,B_1500_0_2,HBM2_network,4572.0,792.074,1.34369,0.3989501312335958,384.78040244969384,1.3438320209973753,1500.0,
5,v25,SpMV,16,B_1250_0_2,HBM2_network,3136.0,802.796,1.6526,0.4059311224489796,388.01658163265313,1.6530612244897958,1250.0,
6,v25,SpMV,16,B_0_0_2,50_p2p  	assertion failed: 0,,,,,,,0.0,
7,v25,SpMV,16,B_0_0_4,HBM2_network  	DEADLOCK: 1921,,,,,,,,0.0
8,v25,SpMV,16,B_1750_0_4,HBM2_network,11126.0,886.1210000000001,0.63849,0.43969081430882617,432.2383605968003,0.638504404098508,,1750.0
9,v25,SpMV,16,B_2000_0_2,HBM2_network,7493.0,858.99,1.0761,0.42773255038035496,419.72988122247426,1.076204457493661,2000.0,
10,v25,SpMV,16,B_1500_0_4,HBM2_network,8656.0,836.382,0.7097760000000001,0.4155499075785583,406.1561922365989,0.7097966728280961,,1500.0
11,v25,SpMV,16,B_2250_0_4,HBM2_network,18353.0,887.471,0.491687,0.4365498828529396,434.76510652209447,0.4916907317604751,,2250.0
12,v25,SpMV,16,B_2500_0_2,HBM2_network,11480.0,875.955,0.8863629999999999,0.435801393728223,429.9149825783972,0.8864111498257841,2500.0,
13,v25,SpMV,16,B_2250_0_2,HBM2_network,9313.0,874.918,0.9689549999999999,0.4354128637388597,427.9222592075593,0.9689681090948136,2250.0,
14,v25,SpMV,16,B_2000_0_4,HBM2_network,14615.0,881.008,0.5517380000000001,0.4336640437906261,430.33349298665746,0.5517618884707493,,2000.0
15,v25,SpMV,16,B_2500_0_4,HBM2_network,22723.0,884.554,0.447826,0.4355938916516305,434.7672402411653,0.4478281917000396,,2500.0
16,v25,SpMV,16,B_2750_0_4,HBM2_network,27540.0,883.7180000000001,0.404357,0.43326071169208413,434.1098039215686,0.4043572984749456,,2750.0
17,v25,SpMV,16,B_250_0_2,HBM2_network,387.0,264.423,2.9729,0.16020671834625322,108.05167958656332,2.976744186046512,250.0,
18,v25,SpMV,16,B_1750_0_2,HBM2_network,6025.0,818.913,1.17896,0.4089626556016597,398.4252282157676,1.1790871369294609,1750.0,
19,v25,SpMV,16,B_250_0_4,HBM2_network,459.0,440.668,2.5077599999999998,0.24618736383442266,186.0653594771242,2.5098039215686274,,250.0
20,v25,SpMV,16,B_3250_0_2,HBM2_network,19168.0,886.0039999999999,0.681131,0.4381260434056761,436.2888146911519,0.6811352253756261,3250.0,
21,v25,SpMV,16,B_3000_0_4,HBM2_network,32586.0,888.294,0.3712,0.4366599153010495,437.0518627631498,0.3712023568403609,,3000.0
22,v25,SpMV,16,B_2750_0_2,HBM2_network,13905.0,875.12,0.8008270000000001,0.4348076231571377,429.73721682847895,0.8008629989212513,2750.0,
23,v25,SpMV,16,B_3000_0_2,HBM2_network,16587.0,872.2130000000001,0.729224,0.4317839271718816,429.2858262494725,0.7292457948996202,3000.0,
24,v25,SpMV,16,B_3750_0_4,HBM2_network,50711.0,891.488,0.299105,0.4379128788625742,439.8322257498373,0.2991067026877798,,3750.0
25,v25,SpMV,16,B_3500_0_2,HBM2_network,22428.0,878.5,0.62493,0.4336543606206528,433.01765650080256,0.6249331193151418,3500.0,
26,v25,SpMV,16,B_3750_0_2,HBM2_network,25654.0,882.079,0.591244,0.43622826849614094,434.81546737350897,0.5912528260700086,3750.0,
27,v25,SpMV,16,B_3250_0_4,HBM2_network,38248.0,887.666,0.341344,0.4365457017360385,437.2627065467476,0.3413511817611378,,3250.0
28,v25,SpMV,16,B_4250_0_2,HBM2_network,32446.0,894.783,0.526645,0.44057819145657395,441.99728780126986,0.5266596807002404,4250.0,
29,v25,SpMV,16,B_4250_0_4,HBM2_network,65197.0,890.665,0.262096,0.4357102320658926,439.9263769805359,0.26209794929214536,,4250.0
30,v25,SpMV,16,B_3500_0_4,HBM2_network,43940.0,896.801,0.31897600000000004,0.4393718707328175,441.80537096040047,0.3189804278561675,,3500.0
31,v25,SpMV,16,B_4000_0_2,HBM2_network,29151.0,883.566,0.5532520000000001,0.4343247229940654,435.5847826832698,0.5532571781414016,4000.0,
32,v25,SpMV,16,B_4000_0_4,HBM2_network,57275.0,898.4810000000001,0.281586,0.4396682671322567,443.1136796158882,0.2815888258402444,,4000.0
33,v25,SpMV,16,B_4750_0_2,HBM2_network,40771.0,890.033,0.466204,0.43778666208824896,439.67633857398636,0.46621373034755104,4750.0,
34,v25,SpMV,16,B_5000_0_2,HBM2_network,45193.0,890.105,0.446079,0.4368154360188525,439.7481025822583,0.446086783351404,5000.0,
35,v25,SpMV,16,B_4500_0_4,HBM2_network,72130.0,903.285,0.250213,0.4420906696242895,445.7312629973659,0.2502148897823375,,4500.0
36,v25,SpMV,16,B_4500_0_2,HBM2_network,36510.0,893.345,0.49432200000000004,0.43933168994795946,440.2237195288962,0.4943303204601479,4500.0,
37,v25,SpMV,16,B_4750_0_4,HBM2_network,80791.0,897.797,0.235273,0.4389969179735367,443.8487455285861,0.2352737309848869,,4750.0
38,v25,SpMV,16,B_500_0_2,HBM2_network,694.0,582.602,3.0415799999999997,0.31556195965417866,263.2219020172911,3.0432276657060515,500.0,
39,v25,SpMV,16,B_5000_0_4,5000_p2p  	assertion failed: 0,,,,,,,,5000.0
40,v25,SpMV,16,B_750_0_2,HBM2_network,1253.0,724.052,2.45147,0.3774940143655228,339.00079808459697,2.45171588188348,750.0,
41,v25,SpMV,16,B_5000_0_4,HBM2_network,88986.0,903.3439999999999,0.226552,0.4417661205133392,446.44708156339203,0.2265524914031421,,5000.0
42,v25,SpMV,16,B_500_0_4,HBM2_network,1098.0,733.41,1.9232799999999999,0.38524590163934425,331.91256830601094,1.9234972677595628,,500.0
43,v25,SpMV,16,B_750_0_4,HBM2_network,2337.0,774.7080000000001,1.3142200000000002,0.39067180145485664,366.1959777492512,1.3145057766367136,,750.0
